Model,Corruption,Severity,Accuracy,Precision,Recall,F1,Mean Confidence,Recall Drop
Pedestrian,None,0,0.7163888888888889,0.34782608695652173,0.509915014164306,0.4135554279149914,0.84039515,0.0
Vehicle,None,0,0.8194444444444444,0.8241619228336496,0.9651851851851851,0.8891163425452064,0.92141914,0.0
Traffic Light,None,0,0.9394444444444444,0.9349264705882353,0.9841331269349846,0.9588989441930619,0.9864555,0.0
Pedestrian,blur,1,0.8144444444444444,0.5555555555555556,0.26912181303116145,0.36259541984732824,0.9047777,0.2407932011331445
Pedestrian,blur,2,0.8186111111111111,0.8732394366197183,0.08781869688385269,0.15958815958815958,0.9709128,0.42209631728045327
Pedestrian,blur,3,0.81,1.0,0.031161473087818695,0.06043956043956044,0.9858684,0.47875354107648727
Pedestrian,brightness,1,0.7736111111111111,0.4252400548696845,0.43909348441926344,0.43205574912891986,0.8538086,0.07082152974504252
Pedestrian,brightness,2,0.8177777777777778,0.6785714285714286,0.13456090651558072,0.22458628841607564,0.9488319,0.37535410764872523
Pedestrian,brightness,3,0.8052777777777778,0.8571428571428571,0.0084985835694051,0.016830294530154277,0.9637942,0.5014164305949008
Pedestrian,contrast,1,0.7627777777777778,0.4021164021164021,0.43059490084985835,0.4158686730506156,0.8390998,0.0793201133144476
Pedestrian,contrast,2,0.8158333333333333,0.5938864628820961,0.19263456090651557,0.2909090909090909,0.89716107,0.3172804532577904
Pedestrian,contrast,3,0.8080555555555555,0.6271186440677966,0.05240793201133145,0.09673202614379085,0.9565103,0.45750708215297453
Pedestrian,noise,1,0.7333333333333333,0.3598233995584989,0.46175637393767704,0.4044665012406948,0.82586956,0.04815864022662891
Pedestrian,noise,2,0.68,0.28962264150943395,0.4348441926345609,0.347678369195923,0.73780984,0.07507082152974504
Pedestrian,noise,3,0.49722222222222223,0.21979695431472082,0.613314447592068,0.3236173393124066,0.6769824,-0.10339943342776203
Vehicle,blur,1,0.7530555555555556,0.9829333333333333,0.6825925925925926,0.8056830601092896,0.89837784,0.2825925925925925
Vehicle,blur,2,0.3477777777777778,0.9916201117318436,0.13148148148148148,0.23217789404839764,0.9424386,0.8337037037037036
Vehicle,blur,3,0.2747222222222222,1.0,0.032962962962962965,0.06382215847974185,0.98250943,0.9322222222222222
Vehicle,brightness,1,0.8666666666666667,0.9214123006833713,0.8988888888888888,0.9100112485939258,0.90402454,0.0662962962962963
Vehicle,brightness,2,0.6294444444444445,0.994927536231884,0.5085185185185185,0.6730392156862746,0.8687054,0.45666666666666667
Vehicle,brightness,3,0.2611111111111111,1.0,0.014814814814814815,0.029197080291970802,0.7874705,0.9503703703703703
Vehicle,contrast,1,0.8325,0.8454695222405272,0.9503703703703704,0.8948561464690497,0.90666115,0.014814814814814725
Vehicle,contrast,2,0.8252777777777778,0.956771063078959,0.8033333333333333,0.8733642037447151,0.852028,0.1618518518518518
Vehicle,contrast,3,0.3408333333333333,1.0,0.12111111111111111,0.21605550049554015,0.86328816,0.844074074074074
Vehicle,noise,1,0.7702777777777777,0.7694964028776978,0.9903703703703703,0.8660728744939271,0.9390434,-0.0251851851851852
Vehicle,noise,2,0.75,0.75,1.0,0.8571428571428571,0.98153824,-0.034814814814814854
Vehicle,noise,3,0.75,0.75,1.0,0.8571428571428571,0.97006935,-0.034814814814814854
Traffic Light,blur,1,0.9441666666666667,0.9609284332688588,0.9613003095975232,0.9611143354614046,0.9716922,0.022832817337461342
Traffic Light,blur,2,0.5463888888888889,0.9876923076923076,0.37267801857585137,0.5411632481033999,0.852618,0.6114551083591332
Traffic Light,blur,3,0.3063888888888889,1.0,0.0336687306501548,0.06514414077124672,0.9379798,0.9504643962848298
Traffic Light,brightness,1,0.9475,0.9586365377250096,0.9686532507739938,0.963618864292589,0.978563,0.01547987616099078
Traffic Light,brightness,2,0.28694444444444445,1.0,0.006578947368421052,0.013071895424836602,0.9823686,0.9775541795665635
Traffic Light,brightness,3,0.2822222222222222,0.0,0.0,0.0,0.99565065,0.9841331269349846
Traffic Light,contrast,1,0.9413888888888889,0.9389567147613762,0.9821981424148607,0.9600907887270664,0.98315203,0.0019349845201238614
Traffic Light,contrast,2,0.9433333333333334,0.9652071931196247,0.9554953560371517,0.9603267211201867,0.9514157,0.028637770897832815
Traffic Light,contrast,3,0.4905555555555556,0.9844961240310077,0.2948916408668731,0.4538415723645027,0.7791681,0.6892414860681115
Traffic Light,noise,1,0.9363888888888889,0.9299014238773274,0.9856811145510835,0.9569791470975014,0.9809397,-0.001547987616098978
Traffic Light,noise,2,0.8955555555555555,0.8804272915230875,0.9887770897832817,0.931461903025884,0.96474785,-0.004643962848297156
Traffic Light,noise,3,0.8355555555555556,0.8298013245033112,0.9698142414860681,0.894361170592434,0.92507136,0.014318885448916463
