Model,Condition,Confidence Threshold,False Negatives,False Negatives Caught,FN Detection Rate,Fallback Rate
Pedestrian,Clean,0.5,346,0,0.0,0.0
Pedestrian,Clean,0.6,346,52,0.15028901734104047,0.09916666666666667
Pedestrian,Clean,0.7,346,94,0.27167630057803466,0.19972222222222222
Pedestrian,Clean,0.8,346,152,0.4393063583815029,0.3386111111111111
Pedestrian,Clean,0.85,346,190,0.5491329479768786,0.42333333333333334
Pedestrian,Clean,0.9,346,241,0.6965317919075145,0.5380555555555555
Pedestrian,Clean,0.95,346,279,0.8063583815028902,0.675
Pedestrian,Clean,0.97,346,301,0.869942196531792,0.7655555555555555
Pedestrian,Clean,0.98,346,312,0.9017341040462428,0.8097222222222222
Pedestrian,Clean,0.99,346,333,0.9624277456647399,0.8786111111111111
Pedestrian,Clean,0.995,346,341,0.9855491329479769,0.9405555555555556
Pedestrian,Blur S1,0.5,516,0,0.0,0.0
Pedestrian,Blur S1,0.6,516,27,0.05232558139534884,0.04638888888888889
Pedestrian,Blur S1,0.7,516,66,0.12790697674418605,0.09527777777777778
Pedestrian,Blur S1,0.8,516,120,0.23255813953488372,0.18388888888888888
Pedestrian,Blur S1,0.85,516,154,0.29844961240310075,0.23055555555555557
Pedestrian,Blur S1,0.9,516,201,0.38953488372093026,0.2936111111111111
Pedestrian,Blur S1,0.95,516,294,0.5697674418604651,0.4241666666666667
Pedestrian,Blur S1,0.97,516,372,0.7209302325581395,0.5458333333333333
Pedestrian,Blur S1,0.98,516,405,0.7848837209302325,0.6558333333333334
Pedestrian,Blur S1,0.99,516,448,0.8682170542635659,0.7783333333333333
Pedestrian,Blur S1,0.995,516,481,0.9321705426356589,0.9036111111111111
Pedestrian,Blur S2,0.5,644,0,0.0,0.0
Pedestrian,Blur S2,0.6,644,9,0.013975155279503106,0.006388888888888889
Pedestrian,Blur S2,0.7,644,22,0.034161490683229816,0.01638888888888889
Pedestrian,Blur S2,0.8,644,39,0.06055900621118013,0.02638888888888889
Pedestrian,Blur S2,0.85,644,55,0.08540372670807453,0.03888888888888889
Pedestrian,Blur S2,0.9,644,79,0.12267080745341614,0.059444444444444446
Pedestrian,Blur S2,0.95,644,121,0.18788819875776397,0.11388888888888889
Pedestrian,Blur S2,0.97,644,190,0.2950310559006211,0.21777777777777776
Pedestrian,Blur S2,0.98,644,234,0.36335403726708076,0.2916666666666667
Pedestrian,Blur S2,0.99,644,401,0.6226708074534162,0.495
Pedestrian,Blur S2,0.995,644,577,0.8959627329192547,0.8383333333333334
Pedestrian,Blur S3,0.5,684,0,0.0,0.0
Pedestrian,Blur S3,0.6,684,5,0.007309941520467836,0.0019444444444444444
Pedestrian,Blur S3,0.7,684,7,0.01023391812865497,0.004166666666666667
Pedestrian,Blur S3,0.8,684,14,0.02046783625730994,0.006666666666666667
Pedestrian,Blur S3,0.85,684,18,0.02631578947368421,0.009444444444444445
Pedestrian,Blur S3,0.9,684,25,0.03654970760233918,0.01361111111111111
Pedestrian,Blur S3,0.95,684,44,0.06432748538011696,0.025277777777777777
Pedestrian,Blur S3,0.97,684,77,0.11257309941520467,0.050555555555555555
Pedestrian,Blur S3,0.98,684,120,0.17543859649122806,0.1225
Pedestrian,Blur S3,0.99,684,306,0.4473684210526316,0.36916666666666664
Pedestrian,Blur S3,0.995,684,611,0.8932748538011696,0.8291666666666667
Pedestrian,Brightness S1,0.5,396,0,0.0,0.0
Pedestrian,Brightness S1,0.6,396,35,0.08838383838383838,0.0913888888888889
Pedestrian,Brightness S1,0.7,396,89,0.22474747474747475,0.17472222222222222
Pedestrian,Brightness S1,0.8,396,148,0.37373737373737376,0.3005555555555556
Pedestrian,Brightness S1,0.85,396,184,0.46464646464646464,0.38166666666666665
Pedestrian,Brightness S1,0.9,396,242,0.6111111111111112,0.49444444444444446
Pedestrian,Brightness S1,0.95,396,306,0.7727272727272727,0.6316666666666667
Pedestrian,Brightness S1,0.97,396,340,0.8585858585858586,0.7241666666666666
Pedestrian,Brightness S1,0.98,396,354,0.8939393939393939,0.7825
Pedestrian,Brightness S1,0.99,396,379,0.9570707070707071,0.8727777777777778
Pedestrian,Brightness S1,0.995,396,390,0.9848484848484849,0.9519444444444445
Pedestrian,Brightness S2,0.5,611,0,0.0,0.0
Pedestrian,Brightness S2,0.6,611,15,0.024549918166939442,0.015555555555555555
Pedestrian,Brightness S2,0.7,611,34,0.05564648117839607,0.030833333333333334
Pedestrian,Brightness S2,0.8,611,63,0.10310965630114566,0.05444444444444444
Pedestrian,Brightness S2,0.85,611,85,0.13911620294599017,0.08055555555555556
Pedestrian,Brightness S2,0.9,611,145,0.23731587561374795,0.13277777777777777
Pedestrian,Brightness S2,0.95,611,230,0.37643207855973815,0.245
Pedestrian,Brightness S2,0.97,611,302,0.49427168576104746,0.3630555555555556
Pedestrian,Brightness S2,0.98,611,423,0.6923076923076923,0.5372222222222223
Pedestrian,Brightness S2,0.99,611,557,0.911620294599018,0.8555555555555555
Pedestrian,Brightness S2,0.995,611,600,0.9819967266775778,0.9786111111111111
Pedestrian,Brightness S3,0.5,700,0,0.0,0.0
Pedestrian,Brightness S3,0.6,700,2,0.002857142857142857,0.0019444444444444444
