Model,Condition,Threshold,Recall,Precision,F1,TP,FN,FP,TN,Clean Recall,Recall Drop,Envelope Met
Pedestrian,Clean,0.01,0.9815864022662889,0.20961887477313976,0.3454636091724826,693,13,2613,281,0.9815864022662889,0.0,True
Pedestrian,Clean,0.05,0.9050991501416431,0.238166231830041,0.37710239008557095,639,67,2044,850,0.9050991501416431,0.0,True
Pedestrian,Clean,0.1,0.8512747875354107,0.2631348511383538,0.40200668896321073,601,105,1683,1211,0.8512747875354107,0.0,True
Pedestrian,Clean,0.2,0.7252124645892352,0.2952710495963091,0.4196721311475409,512,194,1222,1672,0.7252124645892352,0.0,True
Pedestrian,Clean,0.3,0.6430594900849859,0.3229018492176387,0.42992424242424243,454,252,952,1942,0.6430594900849859,0.0,True
Pedestrian,Clean,0.4,0.5835694050991501,0.3379819524200164,0.428051948051948,412,294,807,2087,0.5835694050991501,0.0,True
Pedestrian,Clean,0.5,0.509915014164306,0.34782608695652173,0.41355542791499134,360,346,675,2219,0.509915014164306,0.0,True
Pedestrian,Clean,0.6,0.45609065155807366,0.37354988399071926,0.4107142857142857,322,384,540,2354,0.45609065155807366,0.0,True
Pedestrian,Clean,0.7,0.4093484419263456,0.42066957787481807,0.41493180186647527,289,417,398,2496,0.4093484419263456,0.0,True
Pedestrian,Clean,0.8,0.35410764872521244,0.4854368932038835,0.40950040950040956,250,456,265,2629,0.35410764872521244,0.0,True
Pedestrian,Clean,0.9,0.2776203966005666,0.5648414985590778,0.37226970560303896,196,510,151,2743,0.2776203966005666,0.0,True
Pedestrian,Blur S1,0.01,0.9036827195467422,0.2232330300909727,0.35802469135802467,638,68,2220,674,0.9815864022662889,0.07790368271954673,True
Pedestrian,Blur S1,0.05,0.6855524079320113,0.29987608426270135,0.41724137931034483,484,222,1130,1764,0.9050991501416431,0.21954674220963177,False
Pedestrian,Blur S1,0.1,0.5538243626062322,0.33418803418803417,0.4168443496801706,391,315,779,2115,0.8512747875354107,0.2974504249291785,False
Pedestrian,Blur S1,0.2,0.43909348441926344,0.3785103785103785,0.40655737704918027,310,396,509,2385,0.7252124645892352,0.2861189801699717,False
Pedestrian,Blur S1,0.3,0.3626062322946176,0.45796064400715564,0.40474308300395256,256,450,303,2591,0.6430594900849859,0.2804532577903683,False
Pedestrian,Blur S1,0.4,0.3073654390934844,0.49430523917995445,0.37903930131004365,217,489,222,2672,0.5835694050991501,0.2762039660056657,False
Pedestrian,Blur S1,0.5,0.26912181303116145,0.5555555555555556,0.36259541984732824,190,516,152,2742,0.509915014164306,0.2407932011331445,False
Pedestrian,Blur S1,0.6,0.24220963172804533,0.6286764705882353,0.3496932515337423,171,535,101,2793,0.45609065155807366,0.21388101983002833,False
Pedestrian,Blur S1,0.7,0.21246458923512748,0.6944444444444444,0.32537960954446854,150,556,66,2828,0.4093484419263456,0.19688385269121814,False
Pedestrian,Blur S1,0.8,0.16997167138810199,0.7643312101910829,0.27809965237543455,120,586,37,2857,0.35410764872521244,0.18413597733711046,False
