Model,Threshold,Conditions_Met,Total_Conditions,Minimum_Recall,Maximum_Recall_Drop,Envelope Coverage
Pedestrian,0.01,11,13,0.46458923512747874,0.5169971671388102,0.8461538461538461
Pedestrian,0.05,6,13,0.08923512747875353,0.8158640226628896,0.46153846153846156
Pedestrian,0.1,6,13,0.042492917847025496,0.8087818696883853,0.46153846153846156
Pedestrian,0.2,6,13,0.025495750708215296,0.6997167138810199,0.46153846153846156
Pedestrian,0.3,6,13,0.015580736543909348,0.6274787535410765,0.46153846153846156
Pedestrian,0.4,6,13,0.0113314447592068,0.5722379603399433,0.46153846153846156
Pedestrian,0.5,6,13,0.0084985835694051,0.5014164305949008,0.46153846153846156
Pedestrian,0.6,5,13,0.0028328611898017,0.45325779036827196,0.38461538461538464
Pedestrian,0.7,5,13,0.00141643059490085,0.40793201133144474,0.38461538461538464
Pedestrian,0.8,4,13,0.00141643059490085,0.35269121813031157,0.3076923076923077
Pedestrian,0.9,4,13,0.0,0.2776203966005666,0.3076923076923077
Traffic Light,0.01,10,13,0.010835913312693499,0.9876160990712074,0.7692307692307693
Traffic Light,0.05,9,13,0.0,0.9969040247678018,0.6923076923076923
Traffic Light,0.1,9,13,0.0,0.9941950464396285,0.6923076923076923
Traffic Light,0.2,8,13,0.0,0.9914860681114551,0.6153846153846154
Traffic Light,0.3,8,13,0.0,0.9880030959752322,0.6153846153846154
Traffic Light,0.4,8,13,0.0,0.9852941176470589,0.6153846153846154
Traffic Light,0.5,8,13,0.0,0.9841331269349846,0.6153846153846154
Traffic Light,0.6,8,13,0.0,0.9837461300309598,0.6153846153846154
Traffic Light,0.7,8,13,0.0,0.9825851393188855,0.6153846153846154
Traffic Light,0.8,8,13,0.0,0.9802631578947368,0.6153846153846154
Traffic Light,0.9,7,13,0.0,0.9767801857585139,0.5384615384615384
Vehicle,0.01,11,13,0.35555555555555557,0.6444444444444444,0.8461538461538461
Vehicle,0.05,9,13,0.10592592592592592,0.8933333333333333,0.6923076923076923
Vehicle,0.1,8,13,0.06703703703703703,0.9240740740740742,0.6153846153846154
Vehicle,0.2,7,13,0.04814814814814815,0.9362962962962963,0.5384615384615384
Vehicle,0.3,6,13,0.04037037037037037,0.9381481481481482,0.46153846153846156
Vehicle,0.4,6,13,0.037037037037037035,0.9374074074074075,0.46153846153846156
Vehicle,0.5,6,13,0.014814814814814815,0.9503703703703703,0.46153846153846156
Vehicle,0.6,6,13,0.008148148148148147,0.9525925925925927,0.46153846153846156
Vehicle,0.7,6,13,0.002962962962962963,0.9448148148148149,0.46153846153846156
Vehicle,0.8,5,13,0.0,0.9288888888888889,0.38461538461538464
Vehicle,0.9,5,13,0.0,0.8844444444444445,0.38461538461538464
