DATASET INFORMATION,,
Training Images,7200,
Test Images,3600,
,,
TRAFFIC LIGHT DISTRIBUTION,,
True,5276 (73.28%),
False,1924 (26.72%),
,,
PEDESTRIAN DISTRIBUTION,,
False,5482 (76.14%),
True,1718 (23.86%),
,,
VEHICLE DISTRIBUTION,,
True,5458 (75.81%),
False,1742 (24.19%),
,,
PEDESTRIAN TRAINING,,
Epoch,Train Loss,Validation Loss
1,0.5102737132708232,0.7157625424782786
2,0.41830401334497663,0.841399915615278
3,0.3647125250101089,0.6165669358343677
4,0.31440223183896804,0.8701358207097624
5,0.26753336164686414,0.7259946617635742
,,
VEHICLE TRAINING,,
Epoch,Train Loss,Validation Loss
1,0.30135897131620254,0.34718302344666435
2,0.20868106410566684,0.29749398535064403
3,0.17255752065540414,0.3687853692548774
4,0.15873148776920495,0.31422329550249534
5,0.13028907733021583,0.44150835754382506
,,
TRAFFIC LIGHT TRAINING,,
Epoch,Train Loss,Validation Loss
1,0.17156652946321838,0.23958455954204527
2,0.07893917178405466,0.09040620580740404
3,0.05505276654344217,0.25121101467429025
4,0.04725697387496125,0.06941040017102894
5,0.03105016722265565,0.09869573555943932
,,
PEDESTRIAN METRICS,,
Accuracy,0.7163888888888889,
Precision,0.34782608695652173,
Recall,0.509915014164306,
F1 Score,0.4135554279149914,
,,
VEHICLE METRICS,,
Accuracy,0.8194444444444444,
Precision,0.8241619228336496,
Recall,0.9651851851851851,
F1 Score,0.8891163425452064,
,,
TRAFFIC LIGHT METRICS,,
Accuracy,0.9394444444444444,
Precision,0.9349264705882353,
Recall,0.9841331269349846,
F1 Score,0.9588989441930619,
