TEMPERATURE SCALING - NORMAL TEST,,
Temperature,Accuracy,
0.5,0.7163888888888889,
1.0,0.7163888888888889,
2.0,0.7163888888888889,
,,
ODD SHIFT EVALUATION,,
Dataset,Temperature,Accuracy
Normal Test,0.5,0.7163888888888889
Normal Test,1.0,0.7163888888888889
Normal Test,2.0,0.7163888888888889
Fog Test,0.5,0.8036111111111112
Fog Test,1.0,0.8036111111111112
Fog Test,2.0,0.8036111111111112
Night Test,0.5,0.7958333333333333
Night Test,1.0,0.7958333333333333
Night Test,2.0,0.7958333333333333
Town01 Test,0.5,0.5952777777777778
Town01 Test,1.0,0.5952777777777778
Town01 Test,2.0,0.5952777777777778
,,
BACKDOOR ATTACK RESULTS,,
Metric,Value,
Clean Recall,0.26345609065155806,
Attack Success Rate,0.9291784702549575,
